,Tweet,Date,Time
85,"@ReportsDaNews Point is, ATTACK BLACK LIVES MATTER PROTESTERS, but DON'T ATTACK WHITE DOMESTIC TERRORIST WHO KILLED\xe2\x80\xa6 https://t.co/WoseoVAH6U""",2021-03-03,23:26:41
86,@Moxxiebiatch That phrase once poc started saying Black Lives Matter- they literally did it just to try and silence\xe2\x80\xa6 https://t.co/O6Nl5LCo5U',2021-03-03,23:25:38
87,"'Where is all that money going?' Michael Brown's father says Black Lives Matter abandoned Ferguson activists, deman\xe2\x80\xa6 https://t.co/IsAcSsZR4w""",2021-03-03,23:25:36
88,"RT @Media2070: ""Since the 80s we\'ve seen emergence of a right-wing echo system. And what it\'s echoing is that Black lives don\'t matter. The\xe2\x80\xa6'",2021-03-03,23:25:22
89,"It\xe2\x80\x99s Wednesday, a great day to remember: \n\n- Black Lives Matter \n- Justice is a gospel issue \n- God bless all natio\xe2\x80\xa6 https://t.co/BJcKiDaP5o'",2021-03-03,23:25:13
90,@MintKapri If they says dis I dont wanna see them say sht about black lives matter at all',2021-03-03,23:24:57
91,"Dr Seuss books are being removed from.  Book stores, though only six books are being banned for having racist stere\xe2\x80\xa6 https://t.co/gvXtVID7F1'",2021-03-03,23:24:28
92,@lily_jmd @RealestTonyy All because I said Black Lives Matter \xf0\x9f\x99\x83 no regrets!!!',2021-03-03,23:22:34
93,@plainoldal @RealCandaceO Black Lives Matter &amp; Antifa burning down USA are insurrections????',2021-03-03,23:21:32
94,@theleveloftime @rAAAbbiTT @lisajpatriot @lanceqmanion @kristindonnelly @jaketapper @TheLeadCNN @RepMcCaul How is b\xe2\x80\xa6 https://t.co/w3Lala67v4',2021-03-03,23:20:36
95,The head of DC\xe2\x80\x99s National Guard says he got \xe2\x80\x9cimmediate approval\xe2\x80\x9d for similar requests during Black Lives Matter pro\xe2\x80\xa6 https://t.co/HTG5pqSOw6',2021-03-03,23:20:33
96,"RT @MrRedMartian: Companies last summer: \n\xe2\x80\x9cWe hear you, we\xe2\x80\x99re with you. Black Lives Matter\xe2\x80\x9d https://t.co/kcCvYu4fiA'",2021-03-03,23:19:44
97,"RT @SportOpsEM: She has also gained significant recognition as an activist, having showcased support for the Black Lives Matter movement du\xe2\x80\xa6'",2021-03-03,23:19:10
